company_id,company_name,axis,display_axis,score_1_5,scoring_items,evidence_record_ids,rationale,score_confidence,axis_order
ABF_SUGAR,ABF Sugar,finance,Finance strength,2.98,Revenue and market scale; Profitability / operating result; Balance sheet / debt pressure; Disclosure comparability,MET_0072;MET_0073;MET_0082,"Sugar revenue was GBP 2.054bn. | Sugar adjusted operating result was close to break-even/negative at GBP -2m. | Segment debt indicators were not extracted; impairment signals lower confidence. | ABF segment information is available, but ABF Sugar PDFs were not uploaded locally.",0.84,1
ABF_SUGAR,ABF Sugar,risk,Risk resilience,3.0,Market-price exposure resilience; Geographic / business diversification; Current stress signals; Evidence confidence,MET_0072;MET_0074;MET_0075;MET_0078;MET_0082,"2026 Sugar outlook expects adjusted operating loss. | 21 plants, 9 countries and 9 operating businesses provide diversification. | Expected 2026 operating loss and impairment at Azucarera/Vivergo are stress signals. | Evidence comes from official web supplement; local PDFs should be added for full reproducibility.",0.84,2
ABF_SUGAR,ABF Sugar,sustainability,Sustainability maturity,3.7,Validated targets and transition ambition; Operational sustainability KPIs; Agricultural / supply-chain sustainability; Reporting maturity,MET_0079;MET_0080;MET_0081,"Scope 1+2, Scope 3 and 2050 net-zero targets are available. | Targets are clear, but fewer operational KPI records were extracted. | Scope 3 target indicates supply-chain coverage. | ABF responsibility and SBTi pages are available, but uploaded PDF evidence is incomplete.",0.84,3
ABF_SUGAR,ABF Sugar,operations,Operational strength,3.8,Production footprint scale; Geographic diversification; Raw-material / production diversification; Efficiency / modernization evidence,MET_0074;MET_0075;MET_0076;MET_0077;MET_0078;MET_0079,"21 plants and about 35,000 employees indicate substantial scale. | Operations across 9 countries and 9 businesses. | Sugar, ethanol, feed, specialty products and bagasse electricity indicate operational diversity. | Product and sustainability information exists, but modernization KPIs were not deeply extracted.",0.84,4
ABF_SUGAR,ABF Sugar,products,Product portfolio,3.82,Portfolio breadth; Value-added / specialty products; Co-product valorization; Evidence depth,MET_0077,"Portfolio includes sugar, feed, ethanol, specialty products and renewable electricity. | Specialty products are present, though detail is limited in extracted records. | Animal feed, ethanol and bagasse renewable electricity are strong co-product signals. | Product evidence comes from official website supplement, not uploaded PDFs.",0.84,5
ABF_SUGAR,ABF Sugar,regulation,Regulatory readiness,3.38,CSRD / ESRS readiness; Climate and taxonomy compliance maturity; Exposure to policy cost / sugar market regulation; Disclosure maturity,MET_0072;MET_0079;MET_0080;MET_0081;MET_0082;MET_0085,"ABF-level reporting exists, but ABF Sugar-specific local PDF evidence is incomplete. | SBTi targets support climate compliance maturity. | Sugar outlook and EU market pressure indicate exposure. | Official ABF and ABF Sugar webpages provide evidence, but local PDFs are missing.",,6
ABF_SUGAR,ABF Sugar,investment,Investment momentum,2.72,Capex and modernization volume; Strategic growth initiatives; Decarbonization investment; Restructuring vs growth balance,MET_0078;MET_0079;MET_0080;MET_0082,"No comparable capex amount was extracted for ABF Sugar. | Global operating businesses provide a platform, but growth project evidence is limited. | SBTi targets imply transition investment needs, but project-level capex is missing. | Impairment and loss outlook point to defensive restructuring rather than growth momentum.",,7
NORDZUCKER,Nordzucker AG,finance,Finance strength,2.48,Revenue and market scale; Profitability / operating result; Balance sheet / debt pressure; Disclosure comparability,MET_0001;MET_0002;MET_0003,"Medium-large European sugar player with FY2025/26 revenue of EUR 2.343bn. | FY2025/26 EBIT was strongly negative at EUR -226m after low sugar prices and high costs. | No detailed debt KPI extracted; not penalized heavily, but negative EBIT indicates pressure. | Annual report provides clear revenue, EBIT and investment KPIs.",0.95,1
NORDZUCKER,Nordzucker AG,risk,Risk resilience,2.6,Market-price exposure resilience; Geographic / business diversification; Current stress signals; Evidence confidence,MET_0002;MET_0006;MET_0008;MET_0009;MET_0019,"Revenue and EBIT were heavily affected by low sugar prices and input costs. | Eight sugar-production countries and a cane business in Australia, but 89% of revenue still comes from beet sugar. | Negative EBIT and contingency savings programme indicate current stress. | Risk statement is official and linked to annual report evidence.",0.88,2
NORDZUCKER,Nordzucker AG,sustainability,Sustainability maturity,4.1,Validated targets and transition ambition; Operational sustainability KPIs; Agricultural / supply-chain sustainability; Reporting maturity,MET_0011;MET_0012;MET_0013;MET_0014;MET_0015;MET_0016;MET_0017;MET_0018,"SBTi-recognised Scope 1+2, Scope 3 and FLAG targets are available. | Operational KPIs include Scope 1 emissions, energy, renewable share and water consumption. | FLAG target directly covers agricultural emissions. | Targets and transparency document are available, but CSRD reporting starts later.",0.89,3
NORDZUCKER,Nordzucker AG,operations,Operational strength,3.4,Production footprint scale; Geographic diversification; Raw-material / production diversification; Efficiency / modernization evidence,MET_0003;MET_0004;MET_0005;MET_0006;MET_0007;MET_0009;MET_0019,"2.8m tonnes beet sugar, 0.6m tonnes cane raw sugar and 4,040 employees show medium-high scale. | Eight sugar-production countries across Europe and Australia. | Beet sugar plus cane raw sugar, but beet remains dominant. | Contingency and investment evidence exists, but no strong plant-efficiency KPI in the extracted set.",0.91,4
NORDZUCKER,Nordzucker AG,products,Product portfolio,2.6,Portfolio breadth; Value-added / specialty products; Co-product valorization; Evidence depth,MET_0010;MET_0019,"Portfolio remains heavily sugar-focused, with cane and Smart Ingredients as growth direction. | Smart Ingredients are targeted, but evidence indicates a strategy more than a mature product portfolio. | Sustainability/product materials imply circular use, but extracted product evidence is limited. | Only one product-focused record was extracted.",0.85,5
NORDZUCKER,Nordzucker AG,regulation,Regulatory readiness,3.0,CSRD / ESRS readiness; Climate and taxonomy compliance maturity; Exposure to policy cost / sugar market regulation; Disclosure maturity,MET_0008;MET_0011;MET_0012;MET_0018;MET_0085,"CSRD reporting obligation starts from FY2027/28. | SBTi targets are strong, but formal CSRD reporting is not yet in place. | High exposure to EU sugar market pressures; company-specific regulation detail is limited. | Annual report and sustainability documents are available, but CSRD-format data is still future-oriented.",0.8,6
NORDZUCKER,Nordzucker AG,investment,Investment momentum,3.7,Capex and modernization volume; Strategic growth initiatives; Decarbonization investment; Restructuring vs growth balance,MET_0003;MET_0009;MET_0010;MET_0011;MET_0012,"EUR 160m investment in PPE and intangible assets. | Fields for Growth strategy through 2033 includes cane expansion and Smart Ingredients. | Sustainability targets and investments support transition, although extracted project-level evidence is limited. | Investment exists, but contingency savings indicate defensive restructuring pressure.",0.88,7
PFEIFER_LANGEN,Pfeifer & Langen,finance,Finance strength,2.33,Revenue and market scale; Profitability / operating result; Balance sheet / debt pressure; Disclosure comparability,MET_0037;MET_0038;MET_0052,Revenue is available at EUR 1.36bn in 2025 and EUR 1.77bn in 2024. | No EBIT/EBITDA/net result was extracted from uploaded official documents. | Debt pressure cannot be assessed from uploaded official documents. | Financial comparability is limited because only revenue is available in the sustainability report.,0.78,1
PFEIFER_LANGEN,Pfeifer & Langen,risk,Risk resilience,3.08,Market-price exposure resilience; Geographic / business diversification; Current stress signals; Evidence confidence,MET_0040;MET_0052,"Market-price sensitivity is plausible but no detailed official risk report was extracted. | Twenty European locations indicate meaningful operating breadth. | No major loss or impairment signal extracted, but financial transparency is limited. | Risk analysis is constrained by limited financial disclosure.",0.78,2
PFEIFER_LANGEN,Pfeifer & Langen,sustainability,Sustainability maturity,4.03,Validated targets and transition ambition; Operational sustainability KPIs; Agricultural / supply-chain sustainability; Reporting maturity,MET_0043;MET_0044;MET_0045;MET_0047;MET_0048;MET_0051,"Direct-emission zero by 2040 and Scope 3 reduction target are available. | German sites reduced energy consumption and CO2 emissions materially. | Main raw material is reported as 100% deforestation-free. | Sustainability reports are available, but scope excludes Ukraine and Italy and CSRD starts later.",0.84,3
PFEIFER_LANGEN,Pfeifer & Langen,operations,Operational strength,3.28,Production footprint scale; Geographic diversification; Raw-material / production diversification; Efficiency / modernization evidence,MET_0039;MET_0040;MET_0041;MET_0042;MET_0046;MET_0047;MET_0048;MET_0049,"20 European sites, 12.6m tonnes beet volume and 1.88m tonnes sugar production. | European footprint is relevant but less global than Tereos, ABF or Südzucker. | Operations are mainly beet-sugar oriented in the extracted evidence. | Energy and CO2 reductions plus biomass/biogas project support modernization.",0.88,4
PFEIFER_LANGEN,Pfeifer & Langen,products,Product portfolio,2.9,Portfolio breadth; Value-added / specialty products; Co-product valorization; Evidence depth,MET_0050,"Evidence covers beet sugar, molasses, packaging, paper wrap and beet fiber use. | Limited evidence of specialty/value-added portfolio beyond sugar and packaging initiatives. | Molasses and beet fiber use indicate some circular/co-product valorization. | Product evidence is narrower than for listed groups.",0.8,5
PFEIFER_LANGEN,Pfeifer & Langen,regulation,Regulatory readiness,2.78,CSRD / ESRS readiness; Climate and taxonomy compliance maturity; Exposure to policy cost / sugar market regulation; Disclosure maturity,MET_0043;MET_0044;MET_0051;MET_0052;MET_0085,"CSRD reporting is planned from 2028. | Climate targets exist, but no EU taxonomy/ESRS statement was extracted. | Policy exposure cannot be deeply assessed from uploaded official documents. | Sustainability reporting exists, but financial and regulatory disclosure is less comparable.",0.78,6
PFEIFER_LANGEN,Pfeifer & Langen,investment,Investment momentum,3.3,Capex and modernization volume; Strategic growth initiatives; Decarbonization investment; Restructuring vs growth balance,MET_0046;MET_0049,"Project evidence exists, but no comparable capex amount was extracted. | Modernization initiatives are visible, but growth strategy evidence is limited. | Könnern biomass/pellet and planned biogas plant support decarbonization. | Projects appear modernization-oriented rather than only defensive.",0.84,7
SUEDZUCKER,Südzucker AG,finance,Finance strength,3.75,Revenue and market scale; Profitability / operating result; Balance sheet / debt pressure; Disclosure comparability,MET_0020;MET_0021;MET_0022;MET_0023;MET_0027;MET_0028,"Group revenue EUR 8.352bn; Sugar segment revenue EUR 2.786bn. | Group remains profitable with EUR 163m operating result, but sugar segment is negative. | ROCE is positive but low; no severe net-debt stress extracted. | Listed-group reporting provides extensive comparable KPIs and a sugar segment report.",0.96,1
SUEDZUCKER,Südzucker AG,risk,Risk resilience,3.58,Market-price exposure resilience; Geographic / business diversification; Current stress signals; Evidence confidence,MET_0025;MET_0028;MET_0029;MET_0030,"Sugar segment is exposed to persistently low prices, but group diversification buffers the impact. | About 90 locations in 31 countries and diversified product groups. | Sugar segment operating result is negative at EUR -177m. | Risk evidence is official and highly comparable.",0.88,2
SUEDZUCKER,Südzucker AG,sustainability,Sustainability maturity,3.38,Validated targets and transition ambition; Operational sustainability KPIs; Agricultural / supply-chain sustainability; Reporting maturity,MET_0031;MET_0032;MET_0033;MET_0034;MET_0035;MET_0036,"Sustainability statement exists, but no formal transition plan yet. | Energy consumption and renewable consumption KPIs are available. | Supply-chain sustainability evidence is less complete in extracted indicators. | Dedicated Sustainability Statement and taxonomy KPI increase reporting maturity.",0.87,3
SUEDZUCKER,Südzucker AG,operations,Operational strength,4.2,Production footprint scale; Geographic diversification; Raw-material / production diversification; Efficiency / modernization evidence,MET_0024;MET_0025;MET_0026;MET_0030;MET_0035,"About 90 production locations and 18,188 employees indicate high operational scale. | Operations in 31 countries provide broad geographic diversification. | Group portfolio spans sugar, starch, ethanol, fruit, special products and proteins. | Investment and decarbonization levers support modernization, though sugar-specific efficiency KPIs are limited.",0.95,4
SUEDZUCKER,Südzucker AG,products,Product portfolio,4.65,Portfolio breadth; Value-added / specialty products; Co-product valorization; Evidence depth,MET_0030,"Portfolio includes sugar, ethanol, pizza, fruit preparations, starch, functional ingredients and proteins. | Functional ingredients, starch and plant-based proteins indicate strong value-added diversification. | Ethanol and starch-related businesses support co-product/adjacent product valorization. | Product portfolio is well documented in official reporting.",0.87,5
SUEDZUCKER,Südzucker AG,regulation,Regulatory readiness,3.72,CSRD / ESRS readiness; Climate and taxonomy compliance maturity; Exposure to policy cost / sugar market regulation; Disclosure maturity,MET_0020;MET_0029;MET_0031;MET_0034;MET_0036;MET_0085,"Sustainability Statement and EU reporting structure indicate good readiness. | Taxonomy-aligned revenue is reported, but transition plan is not yet formal. | Diversification reduces exposure, but sugar segment remains vulnerable to EU sugar market pressure. | Detailed annual, sugar-segment and sustainability reports are available.",0.82,6
SUEDZUCKER,Südzucker AG,investment,Investment momentum,3.85,Capex and modernization volume; Strategic growth initiatives; Decarbonization investment; Restructuring vs growth balance,MET_0024;MET_0028;MET_0030;MET_0034;MET_0035,"Investments in fixed assets amount to EUR 450m. | Diversified portfolio supports strategic development, but specific new growth projects are less detailed in extracted indicators. | Decarbonization levers are identified, but a formal transition plan is pending. | Investment is substantial, although sugar segment pressure remains.",0.95,7
TEREOS,Tereos,finance,Finance strength,2.8,Revenue and market scale; Profitability / operating result; Balance sheet / debt pressure; Disclosure comparability,MET_0053;MET_0054;MET_0056;MET_0057;MET_0058;MET_0059,"FY2025/26 revenue EUR 5.132bn; Sugar & Renewables Europe revenue EUR 2.057bn. | Adjusted EBITDA is positive, but EBIT and net result are strongly negative. | Net debt closing position was EUR 2.255bn. | Financial statements and results presentation provide extensive comparable KPIs.",0.95,1
TEREOS,Tereos,risk,Risk resilience,2.88,Market-price exposure resilience; Geographic / business diversification; Current stress signals; Evidence confidence,MET_0053;MET_0056;MET_0057;MET_0058;MET_0062;MET_0063;MET_0065;MET_0066;MET_0069;MET_0070,"Lower European sugar prices, Brazil prices, overcapacity and drought are explicit deterioration drivers. | 38 industrial plants in 12 countries and multiple raw materials/products. | Negative EBIT, negative net result, high debt and plant divestment indicate stress. | Risk and financial evidence is official and detailed.",0.88,2
TEREOS,Tereos,sustainability,Sustainability maturity,3.68,Validated targets and transition ambition; Operational sustainability KPIs; Agricultural / supply-chain sustainability; Reporting maturity,MET_0067;MET_0068,"SBTi FLAG Net Zero commitment is approved. | Pilot plants reduced GHG emissions by 103,800 tCO2, but fewer comparable KPIs were extracted. | FLAG Net Zero supports agricultural emissions coverage. | Non-financial statement exists, but extracted metric depth is lower than Südzucker.",0.86,3
TEREOS,Tereos,operations,Operational strength,4.28,Production footprint scale; Geographic diversification; Raw-material / production diversification; Efficiency / modernization evidence,MET_0062;MET_0063;MET_0064;MET_0065;MET_0066;MET_0068;MET_0069,"38 industrial plants and 14,300 employees indicate high scale. | Operations across 12 countries. | Processes more than 43m tonnes of raw materials and operates sugar, starch and protein positions. | Pilot GHG reduction projects and plant portfolio reorganization show modernization activity.",0.89,4
TEREOS,Tereos,products,Product portfolio,4.53,Portfolio breadth; Value-added / specialty products; Co-product valorization; Evidence depth,MET_0059;MET_0065;MET_0066,"Sugar, renewables, starch, sweeteners, wheat protein and multiple raw materials. | Strong market positions in wheat protein and starch indicate value-added diversification. | Renewables and raw-material valorization support co-product logic. | Product/market position evidence is explicit and official.",0.89,5
TEREOS,Tereos,regulation,Regulatory readiness,3.35,CSRD / ESRS readiness; Climate and taxonomy compliance maturity; Exposure to policy cost / sugar market regulation; Disclosure maturity,MET_0053;MET_0067;MET_0068;MET_0070;MET_0071,Non-financial statement exists; detailed ESRS maturity is less visible than Südzucker. | SBTi FLAG Net Zero approval supports climate-readiness. | CO2 quota deficit expense and sugar market deterioration indicate exposure. | Financial and non-financial reporting is available and detailed.,0.8,6
TEREOS,Tereos,investment,Investment momentum,2.6,Capex and modernization volume; Strategic growth initiatives; Decarbonization investment; Restructuring vs growth balance,MET_0056;MET_0057;MET_0068;MET_0069,"No comparable capex volume was extracted for FY2025/26. | Evidence points more to portfolio reorganization than growth investment. | Pilot plants reduce GHG emissions, but project-level capex is not extracted. | Andrade divestment and financial stress suggest defensive restructuring.",0.84,7
