company_id,company_name,axis,proposed_score_1_5,score_confidence,evidence_record_ids,quantitative_evidence_count,qualitative_evidence_count,scoring_logic_placeholder
NORDZUCKER,Nordzucker AG,finance,,0.95,MET_0001;MET_0002,2,0,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
NORDZUCKER,Nordzucker AG,risk,,0.88,MET_0008,0,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
NORDZUCKER,Nordzucker AG,sustainability,,0.89,MET_0011;MET_0012;MET_0013;MET_0014;MET_0015;MET_0016;MET_0017,7,0,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
NORDZUCKER,Nordzucker AG,operations,,0.91,MET_0004;MET_0005;MET_0006;MET_0007,4,0,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
NORDZUCKER,Nordzucker AG,products,,0.85,MET_0019,0,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
NORDZUCKER,Nordzucker AG,regulation,,0.8,MET_0018,0,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
NORDZUCKER,Nordzucker AG,investment,,0.88,MET_0003;MET_0009;MET_0010,2,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
SUEDZUCKER,Südzucker AG,finance,,0.96,MET_0020;MET_0021;MET_0022;MET_0023;MET_0027;MET_0028,6,0,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
SUEDZUCKER,Südzucker AG,risk,,0.88,MET_0029,0,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
SUEDZUCKER,Südzucker AG,sustainability,,0.87,MET_0031;MET_0032;MET_0033;MET_0034;MET_0035,3,2,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
SUEDZUCKER,Südzucker AG,operations,,0.95,MET_0025;MET_0026,2,0,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
SUEDZUCKER,Südzucker AG,products,,0.87,MET_0030,0,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
SUEDZUCKER,Südzucker AG,regulation,,0.82,MET_0036,0,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
SUEDZUCKER,Südzucker AG,investment,,0.95,MET_0024,1,0,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
PFEIFER_LANGEN,Pfeifer & Langen,finance,,0.82,MET_0037;MET_0038,2,0,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
PFEIFER_LANGEN,Pfeifer & Langen,risk,,0.9,MET_0052,0,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
PFEIFER_LANGEN,Pfeifer & Langen,sustainability,,0.84,MET_0043;MET_0044;MET_0045;MET_0047;MET_0048,4,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
PFEIFER_LANGEN,Pfeifer & Langen,operations,,0.88,MET_0039;MET_0040;MET_0041;MET_0042,4,0,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
PFEIFER_LANGEN,Pfeifer & Langen,products,,0.8,MET_0050,0,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
PFEIFER_LANGEN,Pfeifer & Langen,regulation,,0.78,MET_0051,0,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
PFEIFER_LANGEN,Pfeifer & Langen,investment,,0.84,MET_0046;MET_0049,1,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
TEREOS,Tereos,finance,,0.95,MET_0053;MET_0054;MET_0055;MET_0056;MET_0057;MET_0058;MET_0059;MET_0060;MET_0061,9,0,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
TEREOS,Tereos,risk,,0.88,MET_0070,0,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
TEREOS,Tereos,sustainability,,0.86,MET_0067;MET_0068,1,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
TEREOS,Tereos,operations,,0.89,MET_0062;MET_0063;MET_0064,3,0,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
TEREOS,Tereos,products,,0.89,MET_0065;MET_0066,1,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
TEREOS,Tereos,regulation,,0.8,MET_0071,1,0,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
TEREOS,Tereos,investment,,0.84,MET_0069,0,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
ABF_SUGAR,ABF Sugar,finance,,0.92,MET_0072;MET_0073,2,0,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
ABF_SUGAR,ABF Sugar,risk,,0.86,MET_0082,0,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
ABF_SUGAR,ABF Sugar,sustainability,,0.9,MET_0079;MET_0080;MET_0081,2,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
ABF_SUGAR,ABF Sugar,operations,,0.88,MET_0074;MET_0075;MET_0076;MET_0078,4,0,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
ABF_SUGAR,ABF Sugar,products,,0.86,MET_0077,0,1,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
ABF_SUGAR,ABF Sugar,regulation,,,,0,0,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
ABF_SUGAR,ABF Sugar,investment,,,,0,0,Normalize quantitative metrics where comparable; otherwise use evidence-backed qualitative rubric. Do not score automatically yet.
