company_id,company_name,axis,display_axis,scoring_item,item_weight,item_score_1_5,weighted_points,item_rationale,evidence_record_ids,axis_order
ABF_SUGAR,ABF Sugar,finance,Finance strength,Balance sheet / debt pressure,0.15,3.0,0.45,Segment debt indicators were not extracted; impairment signals lower confidence.,MET_0082,1
ABF_SUGAR,ABF Sugar,finance,Finance strength,Disclosure comparability,0.15,3.5,0.525,"ABF segment information is available, but ABF Sugar PDFs were not uploaded locally.",MET_0072;MET_0073,1
ABF_SUGAR,ABF Sugar,finance,Finance strength,Profitability / operating result,0.45,2.5,1.125,Sugar adjusted operating result was close to break-even/negative at GBP -2m.,MET_0073,1
ABF_SUGAR,ABF Sugar,finance,Finance strength,Revenue and market scale,0.25,3.5,0.875,Sugar revenue was GBP 2.054bn.,MET_0072,1
ABF_SUGAR,ABF Sugar,risk,Risk resilience,Current stress signals,0.2,2.0,0.4,Expected 2026 operating loss and impairment at Azucarera/Vivergo are stress signals.,MET_0082,2
ABF_SUGAR,ABF Sugar,risk,Risk resilience,Evidence confidence,0.15,3.5,0.525,Evidence comes from official web supplement; local PDFs should be added for full reproducibility.,MET_0072;MET_0082,2
ABF_SUGAR,ABF Sugar,risk,Risk resilience,Geographic / business diversification,0.3,4.0,1.2,"21 plants, 9 countries and 9 operating businesses provide diversification.",MET_0074;MET_0075;MET_0078,2
ABF_SUGAR,ABF Sugar,risk,Risk resilience,Market-price exposure resilience,0.35,2.5,0.875,2026 Sugar outlook expects adjusted operating loss.,MET_0082,2
ABF_SUGAR,ABF Sugar,sustainability,Sustainability maturity,Agricultural / supply-chain sustainability,0.2,3.5,0.7,Scope 3 target indicates supply-chain coverage.,MET_0080,3
ABF_SUGAR,ABF Sugar,sustainability,Sustainability maturity,Operational sustainability KPIs,0.3,3.0,0.9,"Targets are clear, but fewer operational KPI records were extracted.",MET_0079;MET_0080,3
ABF_SUGAR,ABF Sugar,sustainability,Sustainability maturity,Reporting maturity,0.15,3.5,0.525,"ABF responsibility and SBTi pages are available, but uploaded PDF evidence is incomplete.",MET_0079;MET_0081,3
ABF_SUGAR,ABF Sugar,sustainability,Sustainability maturity,Validated targets and transition ambition,0.35,4.5,1.575,"Scope 1+2, Scope 3 and 2050 net-zero targets are available.",MET_0079;MET_0080;MET_0081,3
ABF_SUGAR,ABF Sugar,operations,Operational strength,Efficiency / modernization evidence,0.2,3.0,0.6,"Product and sustainability information exists, but modernization KPIs were not deeply extracted.",MET_0077;MET_0079,4
ABF_SUGAR,ABF Sugar,operations,Operational strength,Geographic diversification,0.25,4.0,1.0,Operations across 9 countries and 9 businesses.,MET_0075;MET_0078,4
ABF_SUGAR,ABF Sugar,operations,Operational strength,Production footprint scale,0.35,4.0,1.4,"21 plants and about 35,000 employees indicate substantial scale.",MET_0074;MET_0076,4
ABF_SUGAR,ABF Sugar,operations,Operational strength,Raw-material / production diversification,0.2,4.0,0.8,"Sugar, ethanol, feed, specialty products and bagasse electricity indicate operational diversity.",MET_0077,4
ABF_SUGAR,ABF Sugar,products,Product portfolio,Co-product valorization,0.2,4.5,0.9,"Animal feed, ethanol and bagasse renewable electricity are strong co-product signals.",MET_0077,5
ABF_SUGAR,ABF Sugar,products,Product portfolio,Evidence depth,0.15,3.0,0.45,"Product evidence comes from official website supplement, not uploaded PDFs.",MET_0077,5
ABF_SUGAR,ABF Sugar,products,Product portfolio,Portfolio breadth,0.4,4.0,1.6,"Portfolio includes sugar, feed, ethanol, specialty products and renewable electricity.",MET_0077,5
ABF_SUGAR,ABF Sugar,products,Product portfolio,Value-added / specialty products,0.25,3.5,0.875,"Specialty products are present, though detail is limited in extracted records.",MET_0077,5
ABF_SUGAR,ABF Sugar,regulation,Regulatory readiness,CSRD / ESRS readiness,0.3,3.5,1.05,"ABF-level reporting exists, but ABF Sugar-specific local PDF evidence is incomplete.",MET_0079;MET_0081,6
ABF_SUGAR,ABF Sugar,regulation,Regulatory readiness,Climate and taxonomy compliance maturity,0.25,4.0,1.0,SBTi targets support climate compliance maturity.,MET_0079;MET_0080;MET_0081,6
ABF_SUGAR,ABF Sugar,regulation,Regulatory readiness,Disclosure maturity,0.2,3.5,0.7,"Official ABF and ABF Sugar webpages provide evidence, but local PDFs are missing.",MET_0072;MET_0079,6
ABF_SUGAR,ABF Sugar,regulation,Regulatory readiness,Exposure to policy cost / sugar market regulation,0.25,2.5,0.625,Sugar outlook and EU market pressure indicate exposure.,MET_0082;MET_0085,6
ABF_SUGAR,ABF Sugar,investment,Investment momentum,Capex and modernization volume,0.35,2.5,0.875,No comparable capex amount was extracted for ABF Sugar.,MET_0082,7
ABF_SUGAR,ABF Sugar,investment,Investment momentum,Decarbonization investment,0.2,3.5,0.7,"SBTi targets imply transition investment needs, but project-level capex is missing.",MET_0079;MET_0080,7
ABF_SUGAR,ABF Sugar,investment,Investment momentum,Restructuring vs growth balance,0.2,2.0,0.4,Impairment and loss outlook point to defensive restructuring rather than growth momentum.,MET_0082,7
ABF_SUGAR,ABF Sugar,investment,Investment momentum,Strategic growth initiatives,0.25,3.0,0.75,"Global operating businesses provide a platform, but growth project evidence is limited.",MET_0078,7
NORDZUCKER,Nordzucker AG,finance,Finance strength,Balance sheet / debt pressure,0.15,3.0,0.45,"No detailed debt KPI extracted; not penalized heavily, but negative EBIT indicates pressure.",MET_0002,1
NORDZUCKER,Nordzucker AG,finance,Finance strength,Disclosure comparability,0.15,4.0,0.6,"Annual report provides clear revenue, EBIT and investment KPIs.",MET_0001;MET_0002;MET_0003,1
NORDZUCKER,Nordzucker AG,finance,Finance strength,Profitability / operating result,0.45,1.5,0.675,FY2025/26 EBIT was strongly negative at EUR -226m after low sugar prices and high costs.,MET_0002,1
NORDZUCKER,Nordzucker AG,finance,Finance strength,Revenue and market scale,0.25,3.0,0.75,Medium-large European sugar player with FY2025/26 revenue of EUR 2.343bn.,MET_0001,1
NORDZUCKER,Nordzucker AG,risk,Risk resilience,Current stress signals,0.2,2.0,0.4,Negative EBIT and contingency savings programme indicate current stress.,MET_0002;MET_0009,2
NORDZUCKER,Nordzucker AG,risk,Risk resilience,Evidence confidence,0.15,4.0,0.6,Risk statement is official and linked to annual report evidence.,MET_0008,2
NORDZUCKER,Nordzucker AG,risk,Risk resilience,Geographic / business diversification,0.3,3.0,0.9,"Eight sugar-production countries and a cane business in Australia, but 89% of revenue still comes from beet sugar.",MET_0006;MET_0019,2
NORDZUCKER,Nordzucker AG,risk,Risk resilience,Market-price exposure resilience,0.35,2.0,0.7,Revenue and EBIT were heavily affected by low sugar prices and input costs.,MET_0008,2
NORDZUCKER,Nordzucker AG,sustainability,Sustainability maturity,Agricultural / supply-chain sustainability,0.2,4.0,0.8,FLAG target directly covers agricultural emissions.,MET_0013,3
NORDZUCKER,Nordzucker AG,sustainability,Sustainability maturity,Operational sustainability KPIs,0.3,4.0,1.2,"Operational KPIs include Scope 1 emissions, energy, renewable share and water consumption.",MET_0014;MET_0015;MET_0016;MET_0017,3
NORDZUCKER,Nordzucker AG,sustainability,Sustainability maturity,Reporting maturity,0.15,3.5,0.525,"Targets and transparency document are available, but CSRD reporting starts later.",MET_0018,3
NORDZUCKER,Nordzucker AG,sustainability,Sustainability maturity,Validated targets and transition ambition,0.35,4.5,1.575,"SBTi-recognised Scope 1+2, Scope 3 and FLAG targets are available.",MET_0011;MET_0012;MET_0013,3
NORDZUCKER,Nordzucker AG,operations,Operational strength,Efficiency / modernization evidence,0.2,3.0,0.6,"Contingency and investment evidence exists, but no strong plant-efficiency KPI in the extracted set.",MET_0003;MET_0009,4
NORDZUCKER,Nordzucker AG,operations,Operational strength,Geographic diversification,0.25,3.5,0.875,Eight sugar-production countries across Europe and Australia.,MET_0006,4
NORDZUCKER,Nordzucker AG,operations,Operational strength,Production footprint scale,0.35,3.5,1.225,"2.8m tonnes beet sugar, 0.6m tonnes cane raw sugar and 4,040 employees show medium-high scale.",MET_0004;MET_0005;MET_0007,4
NORDZUCKER,Nordzucker AG,operations,Operational strength,Raw-material / production diversification,0.2,3.5,0.7,"Beet sugar plus cane raw sugar, but beet remains dominant.",MET_0004;MET_0005;MET_0019,4
NORDZUCKER,Nordzucker AG,products,Product portfolio,Co-product valorization,0.2,3.0,0.6,"Sustainability/product materials imply circular use, but extracted product evidence is limited.",MET_0019,5
NORDZUCKER,Nordzucker AG,products,Product portfolio,Evidence depth,0.15,2.5,0.375,Only one product-focused record was extracted.,MET_0019,5
NORDZUCKER,Nordzucker AG,products,Product portfolio,Portfolio breadth,0.4,2.5,1.0,"Portfolio remains heavily sugar-focused, with cane and Smart Ingredients as growth direction.",MET_0019,5
NORDZUCKER,Nordzucker AG,products,Product portfolio,Value-added / specialty products,0.25,2.5,0.625,"Smart Ingredients are targeted, but evidence indicates a strategy more than a mature product portfolio.",MET_0010;MET_0019,5
NORDZUCKER,Nordzucker AG,regulation,Regulatory readiness,CSRD / ESRS readiness,0.3,3.0,0.9,CSRD reporting obligation starts from FY2027/28.,MET_0018,6
NORDZUCKER,Nordzucker AG,regulation,Regulatory readiness,Climate and taxonomy compliance maturity,0.25,3.5,0.875,"SBTi targets are strong, but formal CSRD reporting is not yet in place.",MET_0011;MET_0012;MET_0018,6
NORDZUCKER,Nordzucker AG,regulation,Regulatory readiness,Disclosure maturity,0.2,3.0,0.6,"Annual report and sustainability documents are available, but CSRD-format data is still future-oriented.",MET_0018,6
NORDZUCKER,Nordzucker AG,regulation,Regulatory readiness,Exposure to policy cost / sugar market regulation,0.25,2.5,0.625,High exposure to EU sugar market pressures; company-specific regulation detail is limited.,MET_0008;MET_0085,6
NORDZUCKER,Nordzucker AG,investment,Investment momentum,Capex and modernization volume,0.35,4.0,1.4,EUR 160m investment in PPE and intangible assets.,MET_0003,7
NORDZUCKER,Nordzucker AG,investment,Investment momentum,Decarbonization investment,0.2,3.5,0.7,"Sustainability targets and investments support transition, although extracted project-level evidence is limited.",MET_0011;MET_0012;MET_0003,7
NORDZUCKER,Nordzucker AG,investment,Investment momentum,Restructuring vs growth balance,0.2,3.0,0.6,"Investment exists, but contingency savings indicate defensive restructuring pressure.",MET_0003;MET_0009,7
NORDZUCKER,Nordzucker AG,investment,Investment momentum,Strategic growth initiatives,0.25,4.0,1.0,Fields for Growth strategy through 2033 includes cane expansion and Smart Ingredients.,MET_0010,7
PFEIFER_LANGEN,Pfeifer & Langen,finance,Finance strength,Balance sheet / debt pressure,0.15,2.5,0.375,Debt pressure cannot be assessed from uploaded official documents.,MET_0052,1
PFEIFER_LANGEN,Pfeifer & Langen,finance,Finance strength,Disclosure comparability,0.15,2.0,0.3,Financial comparability is limited because only revenue is available in the sustainability report.,MET_0052,1
PFEIFER_LANGEN,Pfeifer & Langen,finance,Finance strength,Profitability / operating result,0.45,2.0,0.9,No EBIT/EBITDA/net result was extracted from uploaded official documents.,MET_0052,1
PFEIFER_LANGEN,Pfeifer & Langen,finance,Finance strength,Revenue and market scale,0.25,3.0,0.75,Revenue is available at EUR 1.36bn in 2025 and EUR 1.77bn in 2024.,MET_0037;MET_0038,1
PFEIFER_LANGEN,Pfeifer & Langen,risk,Risk resilience,Current stress signals,0.2,3.0,0.6,"No major loss or impairment signal extracted, but financial transparency is limited.",MET_0052,2
PFEIFER_LANGEN,Pfeifer & Langen,risk,Risk resilience,Evidence confidence,0.15,2.5,0.375,Risk analysis is constrained by limited financial disclosure.,MET_0052,2
PFEIFER_LANGEN,Pfeifer & Langen,risk,Risk resilience,Geographic / business diversification,0.3,3.5,1.05,Twenty European locations indicate meaningful operating breadth.,MET_0040,2
PFEIFER_LANGEN,Pfeifer & Langen,risk,Risk resilience,Market-price exposure resilience,0.35,3.0,1.05,Market-price sensitivity is plausible but no detailed official risk report was extracted.,MET_0052,2
PFEIFER_LANGEN,Pfeifer & Langen,sustainability,Sustainability maturity,Agricultural / supply-chain sustainability,0.2,4.5,0.9,Main raw material is reported as 100% deforestation-free.,MET_0045,3
PFEIFER_LANGEN,Pfeifer & Langen,sustainability,Sustainability maturity,Operational sustainability KPIs,0.3,4.0,1.2,German sites reduced energy consumption and CO2 emissions materially.,MET_0047;MET_0048,3
PFEIFER_LANGEN,Pfeifer & Langen,sustainability,Sustainability maturity,Reporting maturity,0.15,3.5,0.525,"Sustainability reports are available, but scope excludes Ukraine and Italy and CSRD starts later.",MET_0051,3
PFEIFER_LANGEN,Pfeifer & Langen,sustainability,Sustainability maturity,Validated targets and transition ambition,0.35,4.0,1.4,Direct-emission zero by 2040 and Scope 3 reduction target are available.,MET_0043;MET_0044,3
PFEIFER_LANGEN,Pfeifer & Langen,operations,Operational strength,Efficiency / modernization evidence,0.2,4.0,0.8,Energy and CO2 reductions plus biomass/biogas project support modernization.,MET_0046;MET_0047;MET_0048;MET_0049,4
PFEIFER_LANGEN,Pfeifer & Langen,operations,Operational strength,Geographic diversification,0.25,3.0,0.75,"European footprint is relevant but less global than Tereos, ABF or Südzucker.",MET_0040,4
PFEIFER_LANGEN,Pfeifer & Langen,operations,Operational strength,Production footprint scale,0.35,3.5,1.225,"20 European sites, 12.6m tonnes beet volume and 1.88m tonnes sugar production.",MET_0039;MET_0040;MET_0041;MET_0042,4
PFEIFER_LANGEN,Pfeifer & Langen,operations,Operational strength,Raw-material / production diversification,0.2,2.5,0.5,Operations are mainly beet-sugar oriented in the extracted evidence.,MET_0041;MET_0042,4
PFEIFER_LANGEN,Pfeifer & Langen,products,Product portfolio,Co-product valorization,0.2,3.5,0.7,Molasses and beet fiber use indicate some circular/co-product valorization.,MET_0050,5
PFEIFER_LANGEN,Pfeifer & Langen,products,Product portfolio,Evidence depth,0.15,2.5,0.375,Product evidence is narrower than for listed groups.,MET_0050,5
PFEIFER_LANGEN,Pfeifer & Langen,products,Product portfolio,Portfolio breadth,0.4,3.0,1.2,"Evidence covers beet sugar, molasses, packaging, paper wrap and beet fiber use.",MET_0050,5
PFEIFER_LANGEN,Pfeifer & Langen,products,Product portfolio,Value-added / specialty products,0.25,2.5,0.625,Limited evidence of specialty/value-added portfolio beyond sugar and packaging initiatives.,MET_0050,5
PFEIFER_LANGEN,Pfeifer & Langen,regulation,Regulatory readiness,CSRD / ESRS readiness,0.3,3.0,0.9,CSRD reporting is planned from 2028.,MET_0051,6
PFEIFER_LANGEN,Pfeifer & Langen,regulation,Regulatory readiness,Climate and taxonomy compliance maturity,0.25,3.0,0.75,"Climate targets exist, but no EU taxonomy/ESRS statement was extracted.",MET_0043;MET_0044;MET_0051,6
PFEIFER_LANGEN,Pfeifer & Langen,regulation,Regulatory readiness,Disclosure maturity,0.2,2.5,0.5,"Sustainability reporting exists, but financial and regulatory disclosure is less comparable.",MET_0051;MET_0052,6
PFEIFER_LANGEN,Pfeifer & Langen,regulation,Regulatory readiness,Exposure to policy cost / sugar market regulation,0.25,2.5,0.625,Policy exposure cannot be deeply assessed from uploaded official documents.,MET_0052;MET_0085,6
PFEIFER_LANGEN,Pfeifer & Langen,investment,Investment momentum,Capex and modernization volume,0.35,3.0,1.05,"Project evidence exists, but no comparable capex amount was extracted.",MET_0046;MET_0049,7
PFEIFER_LANGEN,Pfeifer & Langen,investment,Investment momentum,Decarbonization investment,0.2,4.0,0.8,Könnern biomass/pellet and planned biogas plant support decarbonization.,MET_0046;MET_0049,7
PFEIFER_LANGEN,Pfeifer & Langen,investment,Investment momentum,Restructuring vs growth balance,0.2,3.5,0.7,Projects appear modernization-oriented rather than only defensive.,MET_0046;MET_0049,7
PFEIFER_LANGEN,Pfeifer & Langen,investment,Investment momentum,Strategic growth initiatives,0.25,3.0,0.75,"Modernization initiatives are visible, but growth strategy evidence is limited.",MET_0046,7
SUEDZUCKER,Südzucker AG,finance,Finance strength,Balance sheet / debt pressure,0.15,3.5,0.525,ROCE is positive but low; no severe net-debt stress extracted.,MET_0023,1
SUEDZUCKER,Südzucker AG,finance,Finance strength,Disclosure comparability,0.15,5.0,0.75,Listed-group reporting provides extensive comparable KPIs and a sugar segment report.,MET_0020;MET_0021;MET_0027;MET_0028,1
SUEDZUCKER,Südzucker AG,finance,Finance strength,Profitability / operating result,0.45,3.0,1.35,"Group remains profitable with EUR 163m operating result, but sugar segment is negative.",MET_0022;MET_0028,1
SUEDZUCKER,Südzucker AG,finance,Finance strength,Revenue and market scale,0.25,4.5,1.125,Group revenue EUR 8.352bn; Sugar segment revenue EUR 2.786bn.,MET_0020;MET_0027,1
SUEDZUCKER,Südzucker AG,risk,Risk resilience,Current stress signals,0.2,2.5,0.5,Sugar segment operating result is negative at EUR -177m.,MET_0028;MET_0029,2
SUEDZUCKER,Südzucker AG,risk,Risk resilience,Evidence confidence,0.15,4.5,0.675,Risk evidence is official and highly comparable.,MET_0029,2
SUEDZUCKER,Südzucker AG,risk,Risk resilience,Geographic / business diversification,0.3,4.5,1.35,About 90 locations in 31 countries and diversified product groups.,MET_0025;MET_0030,2
SUEDZUCKER,Südzucker AG,risk,Risk resilience,Market-price exposure resilience,0.35,3.0,1.05,"Sugar segment is exposed to persistently low prices, but group diversification buffers the impact.",MET_0029;MET_0030,2
SUEDZUCKER,Südzucker AG,sustainability,Sustainability maturity,Agricultural / supply-chain sustainability,0.2,3.0,0.6,Supply-chain sustainability evidence is less complete in extracted indicators.,MET_0035,3
SUEDZUCKER,Südzucker AG,sustainability,Sustainability maturity,Operational sustainability KPIs,0.3,3.5,1.05,Energy consumption and renewable consumption KPIs are available.,MET_0032;MET_0033,3
SUEDZUCKER,Südzucker AG,sustainability,Sustainability maturity,Reporting maturity,0.15,4.5,0.675,Dedicated Sustainability Statement and taxonomy KPI increase reporting maturity.,MET_0031;MET_0034;MET_0036,3
SUEDZUCKER,Südzucker AG,sustainability,Sustainability maturity,Validated targets and transition ambition,0.35,3.0,1.05,"Sustainability statement exists, but no formal transition plan yet.",MET_0034;MET_0035,3
SUEDZUCKER,Südzucker AG,operations,Operational strength,Efficiency / modernization evidence,0.2,3.5,0.7,"Investment and decarbonization levers support modernization, though sugar-specific efficiency KPIs are limited.",MET_0024;MET_0035,4
SUEDZUCKER,Südzucker AG,operations,Operational strength,Geographic diversification,0.25,4.5,1.125,Operations in 31 countries provide broad geographic diversification.,MET_0025,4
SUEDZUCKER,Südzucker AG,operations,Operational strength,Production footprint scale,0.35,4.5,1.575,"About 90 production locations and 18,188 employees indicate high operational scale.",MET_0025;MET_0026,4
SUEDZUCKER,Südzucker AG,operations,Operational strength,Raw-material / production diversification,0.2,4.0,0.8,"Group portfolio spans sugar, starch, ethanol, fruit, special products and proteins.",MET_0030,4
SUEDZUCKER,Südzucker AG,products,Product portfolio,Co-product valorization,0.2,4.0,0.8,Ethanol and starch-related businesses support co-product/adjacent product valorization.,MET_0030,5
SUEDZUCKER,Südzucker AG,products,Product portfolio,Evidence depth,0.15,4.0,0.6,Product portfolio is well documented in official reporting.,MET_0030,5
SUEDZUCKER,Südzucker AG,products,Product portfolio,Portfolio breadth,0.4,5.0,2.0,"Portfolio includes sugar, ethanol, pizza, fruit preparations, starch, functional ingredients and proteins.",MET_0030,5
SUEDZUCKER,Südzucker AG,products,Product portfolio,Value-added / specialty products,0.25,5.0,1.25,"Functional ingredients, starch and plant-based proteins indicate strong value-added diversification.",MET_0030,5
SUEDZUCKER,Südzucker AG,regulation,Regulatory readiness,CSRD / ESRS readiness,0.3,4.0,1.2,Sustainability Statement and EU reporting structure indicate good readiness.,MET_0031;MET_0034;MET_0036,6
SUEDZUCKER,Südzucker AG,regulation,Regulatory readiness,Climate and taxonomy compliance maturity,0.25,3.5,0.875,"Taxonomy-aligned revenue is reported, but transition plan is not yet formal.",MET_0031;MET_0034,6
SUEDZUCKER,Südzucker AG,regulation,Regulatory readiness,Disclosure maturity,0.2,4.5,0.9,"Detailed annual, sugar-segment and sustainability reports are available.",MET_0020;MET_0031;MET_0036,6
SUEDZUCKER,Südzucker AG,regulation,Regulatory readiness,Exposure to policy cost / sugar market regulation,0.25,3.0,0.75,"Diversification reduces exposure, but sugar segment remains vulnerable to EU sugar market pressure.",MET_0029;MET_0085,6
SUEDZUCKER,Südzucker AG,investment,Investment momentum,Capex and modernization volume,0.35,4.5,1.575,Investments in fixed assets amount to EUR 450m.,MET_0024,7
SUEDZUCKER,Südzucker AG,investment,Investment momentum,Decarbonization investment,0.2,3.5,0.7,"Decarbonization levers are identified, but a formal transition plan is pending.",MET_0035;MET_0034,7
SUEDZUCKER,Südzucker AG,investment,Investment momentum,Restructuring vs growth balance,0.2,3.5,0.7,"Investment is substantial, although sugar segment pressure remains.",MET_0024;MET_0028,7
SUEDZUCKER,Südzucker AG,investment,Investment momentum,Strategic growth initiatives,0.25,3.5,0.875,"Diversified portfolio supports strategic development, but specific new growth projects are less detailed in extracted indicators.",MET_0030,7
TEREOS,Tereos,finance,Finance strength,Balance sheet / debt pressure,0.15,1.5,0.225,Net debt closing position was EUR 2.255bn.,MET_0058,1
TEREOS,Tereos,finance,Finance strength,Disclosure comparability,0.15,4.5,0.675,Financial statements and results presentation provide extensive comparable KPIs.,MET_0053;MET_0054;MET_0058,1
TEREOS,Tereos,finance,Finance strength,Profitability / operating result,0.45,2.0,0.9,"Adjusted EBITDA is positive, but EBIT and net result are strongly negative.",MET_0054;MET_0056;MET_0057,1
TEREOS,Tereos,finance,Finance strength,Revenue and market scale,0.25,4.0,1.0,FY2025/26 revenue EUR 5.132bn; Sugar & Renewables Europe revenue EUR 2.057bn.,MET_0053;MET_0059,1
TEREOS,Tereos,risk,Risk resilience,Current stress signals,0.2,1.5,0.3,"Negative EBIT, negative net result, high debt and plant divestment indicate stress.",MET_0056;MET_0057;MET_0058;MET_0069,2
TEREOS,Tereos,risk,Risk resilience,Evidence confidence,0.15,4.5,0.675,Risk and financial evidence is official and detailed.,MET_0070;MET_0053;MET_0058,2
TEREOS,Tereos,risk,Risk resilience,Geographic / business diversification,0.3,4.0,1.2,38 industrial plants in 12 countries and multiple raw materials/products.,MET_0062;MET_0063;MET_0065;MET_0066,2
TEREOS,Tereos,risk,Risk resilience,Market-price exposure resilience,0.35,2.0,0.7,"Lower European sugar prices, Brazil prices, overcapacity and drought are explicit deterioration drivers.",MET_0070,2
TEREOS,Tereos,sustainability,Sustainability maturity,Agricultural / supply-chain sustainability,0.2,3.5,0.7,FLAG Net Zero supports agricultural emissions coverage.,MET_0067,3
TEREOS,Tereos,sustainability,Sustainability maturity,Operational sustainability KPIs,0.3,3.5,1.05,"Pilot plants reduced GHG emissions by 103,800 tCO2, but fewer comparable KPIs were extracted.",MET_0068,3
TEREOS,Tereos,sustainability,Sustainability maturity,Reporting maturity,0.15,3.5,0.525,"Non-financial statement exists, but extracted metric depth is lower than Südzucker.",MET_0067;MET_0068,3
TEREOS,Tereos,sustainability,Sustainability maturity,Validated targets and transition ambition,0.35,4.0,1.4,SBTi FLAG Net Zero commitment is approved.,MET_0067,3
TEREOS,Tereos,operations,Operational strength,Efficiency / modernization evidence,0.2,3.5,0.7,Pilot GHG reduction projects and plant portfolio reorganization show modernization activity.,MET_0068;MET_0069,4
TEREOS,Tereos,operations,Operational strength,Geographic diversification,0.25,4.0,1.0,Operations across 12 countries.,MET_0063,4
TEREOS,Tereos,operations,Operational strength,Production footprint scale,0.35,4.5,1.575,"38 industrial plants and 14,300 employees indicate high scale.",MET_0062;MET_0064,4
TEREOS,Tereos,operations,Operational strength,Raw-material / production diversification,0.2,5.0,1.0,"Processes more than 43m tonnes of raw materials and operates sugar, starch and protein positions.",MET_0065;MET_0066,4
TEREOS,Tereos,products,Product portfolio,Co-product valorization,0.2,4.0,0.8,Renewables and raw-material valorization support co-product logic.,MET_0059;MET_0065,5
TEREOS,Tereos,products,Product portfolio,Evidence depth,0.15,4.0,0.6,Product/market position evidence is explicit and official.,MET_0065;MET_0066,5
TEREOS,Tereos,products,Product portfolio,Portfolio breadth,0.4,5.0,2.0,"Sugar, renewables, starch, sweeteners, wheat protein and multiple raw materials.",MET_0065;MET_0066,5
TEREOS,Tereos,products,Product portfolio,Value-added / specialty products,0.25,4.5,1.125,Strong market positions in wheat protein and starch indicate value-added diversification.,MET_0066,5
TEREOS,Tereos,regulation,Regulatory readiness,CSRD / ESRS readiness,0.3,3.5,1.05,Non-financial statement exists; detailed ESRS maturity is less visible than Südzucker.,MET_0067;MET_0068,6
TEREOS,Tereos,regulation,Regulatory readiness,Climate and taxonomy compliance maturity,0.25,3.5,0.875,SBTi FLAG Net Zero approval supports climate-readiness.,MET_0067,6
TEREOS,Tereos,regulation,Regulatory readiness,Disclosure maturity,0.2,4.0,0.8,Financial and non-financial reporting is available and detailed.,MET_0053;MET_0067,6
TEREOS,Tereos,regulation,Regulatory readiness,Exposure to policy cost / sugar market regulation,0.25,2.5,0.625,CO2 quota deficit expense and sugar market deterioration indicate exposure.,MET_0071;MET_0070,6
TEREOS,Tereos,investment,Investment momentum,Capex and modernization volume,0.35,2.5,0.875,No comparable capex volume was extracted for FY2025/26.,MET_0069,7
TEREOS,Tereos,investment,Investment momentum,Decarbonization investment,0.2,3.5,0.7,"Pilot plants reduce GHG emissions, but project-level capex is not extracted.",MET_0068,7
TEREOS,Tereos,investment,Investment momentum,Restructuring vs growth balance,0.2,2.0,0.4,Andrade divestment and financial stress suggest defensive restructuring.,MET_0069;MET_0056;MET_0057,7
TEREOS,Tereos,investment,Investment momentum,Strategic growth initiatives,0.25,2.5,0.625,Evidence points more to portfolio reorganization than growth investment.,MET_0069,7
